"name","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean_relative_abundance","degree","betweenness","normalized_degree","module"
"ASV_323","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismataceae","Lophodermium","herbarum",0.00011330958386959,4,9,0.00591715976331361,26
"ASV_324","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Septoriella","hirta",0.000249427308585131,1,0,0.0014792899408284,1
"ASV_326","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia","capensis",0.000133715275686,1,0,0.0014792899408284,2
"ASV_33","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,1.93759707596854e-05,13,1022.65290896154,0.0192307692307692,14
"ASV_330","Fungi","Chytridiomycota","GS13",NA,NA,NA,NA,0.000831197050519792,2,0,0.0029585798816568,15
"ASV_332","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina","ulmi",1.16643921102052e-05,17,244.151043736628,0.0251479289940828,7
"ASV_333","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Constantinomyces","minimus",0.000200850464817266,1,0,0.0014792899408284,28
"ASV_336","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Neocamarosporium","lamiacearum",7.80786408070208e-06,11,580.952204627412,0.0162721893491124,13
"ASV_337","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Lectera","longa",0.000243960923063092,3,39.2420924364808,0.00443786982248521,2
"ASV_338","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,2.32281112039507e-05,19,3430.12050722548,0.0281065088757396,14
"ASV_339","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA,8.50896909416319e-05,2,14.4160306581264,0.0029585798816568,2
"ASV_340","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae",NA,NA,0.00020162435470832,4,115.319349833396,0.00591715976331361,2
"ASV_342","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,8.50736981293509e-06,15,1454.21526898196,0.022189349112426,14
"ASV_343","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Schizophyllaceae","Schizophyllum","commune",3.80147938862401e-05,25,603.72082213702,0.0369822485207101,12
"ASV_345","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","catananches",8.33900207738804e-05,1,0,0.0014792899408284,6
"ASV_349","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora",NA,0.000194129988238694,10,1759.86247890999,0.014792899408284,1
"ASV_353","Fungi","Basidiomycota","Agaricomycetes","Russulales",NA,NA,NA,0.00034564147705103,1,0,0.0014792899408284,3
"ASV_354","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,0.000133946815667772,4,37.7950067011977,0.00591715976331361,5
"ASV_355","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes_ord_Incertae_sedis","Symmetrosporaceae","Symmetrospora","gracilis",0.000247820412014168,1,0,0.0014792899408284,1
"ASV_36","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,1.52587890625e-05,15,316.448570797963,0.022189349112426,6
"ASV_369","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","caraganae",9.8750107595039e-05,3,83.7081836178982,0.00443786982248521,6
"ASV_37","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA,0.0088768748704731,6,1492.23831574544,0.00887573964497041,2
"ASV_372","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora","forlicesenica",3.02401746193862e-05,27,1238.9470083619,0.0399408284023669,4
"ASV_373","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Kondoaceae","Kondoa","sorbi",0.000236166699000776,22,4189.38423051677,0.0325443786982249,3
"ASV_376","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismataceae","Lophodermium","herbarum",0.000486905266355231,1,0,0.0014792899408284,2
"ASV_378","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",NA,0.000360116917180003,2,0,0.0029585798816568,4
"ASV_379","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora",NA,0.000319017084478352,2,0,0.0029585798816568,6
"ASV_38","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","intricans",0.00664550950597045,7,1351.37956560963,0.0103550295857988,2
"ASV_380","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Sclerostagonospora",NA,0.000103024525521958,8,500.871636086275,0.0118343195266272,2
"ASV_381","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Juncaceicola","dactylidis",0.000253796136902383,2,176.761337106536,0.0029585798816568,14
"ASV_385","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Devriesia","pseudoamericana",0.000142642655266,1,0,0.0014792899408284,2
"ASV_387","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Calophoma",NA,3.65679347677661e-05,15,1449.16920152948,0.022189349112426,7
"ASV_388","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma","samararum",9.87554293585468e-05,4,1093.52955111836,0.00591715976331361,4
"ASV_39","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","drechsleri",0.000254316121380197,2,1250,0.0029585798816568,1
"ASV_390","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,4.60468757194824e-06,20,911.960152208812,0.029585798816568,3
"ASV_391","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Neocamarosporium","lamiacearum",0.000147387303197439,1,0,0.0014792899408284,5
"ASV_394","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Myxospora",NA,0.000137634968900388,3,912.063778445721,0.00443786982248521,3
"ASV_397","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,0.000260263840445955,1,0,0.0014792899408284,16
"ASV_398","Fungi","Ascomycota","Dothideomycetes","Capnodiales",NA,NA,NA,9.34432673987434e-05,2,0,0.0029585798816568,3
"ASV_4","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","dendrobii",0.139030154687606,2,0,0.0029585798816568,2
"ASV_400","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Porocercospora","seminalis",0.00013681237252989,1,0,0.0014792899408284,21
"ASV_404","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",NA,2.68892378514423e-05,16,392.018060055009,0.0236686390532544,14
"ASV_405","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","victoriae",5.87042811393047e-05,27,1238.9470083619,0.0399408284023669,4
"ASV_409","Fungi","Ascomycota","Leotiomycetes","Thelebolales",NA,NA,NA,0.000179760954742418,2,626,0.0029585798816568,3
"ASV_41","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta",NA,2.87792973246765e-05,20,911.960152208812,0.029585798816568,3
"ASV_411","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Limonomyces",NA,0.000245092029298325,1,0,0.0014792899408284,12
"ASV_412","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella","intermedia",0.000417875397154303,20,911.960152208812,0.029585798816568,3
"ASV_417","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora",NA,7.4800274117411e-05,1,0,0.0014792899408284,2
"ASV_418","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","juncicola",0.000113175573297695,1,0,0.0014792899408284,6
"ASV_419","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Alternariaster","centaureae-diffusae",1.22795444988574e-05,16,1192.76674888317,0.0236686390532544,15
"ASV_421","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","rhaphiolepidis",2.23744831419621e-05,8,1469.59906170211,0.0118343195266272,2
"ASV_423","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","byssoides",2.68480141177017e-05,14,488.982069184724,0.0207100591715976,13
"ASV_424","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia",NA,8.05820325090943e-06,20,911.960152208812,0.029585798816568,3
"ASV_425","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,0.000284671145833258,1,0,0.0014792899408284,6
"ASV_429","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora",NA,1.09884993913214e-05,29,3401.62715410822,0.0428994082840237,4
"ASV_43","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Pseudozyma","prolifica",0.00199644609057418,2,0,0.0029585798816568,14
"ASV_430","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA,3.22670854217308e-05,16,392.018060055009,0.0236686390532544,14
