"ASV","KS_LFC","KS_p","KS_padj","SD_LFC","SD_p","SD_padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","Category"
"ASV_1019",2.1764721820003,0.464077874050772,0.614260509676533,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__tabarestanensis","Other"
"ASV_1031",2.77752882431028,0.349280808152757,0.516526015965316,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariaceae","g__Auricularia","s__fuscosuccinea","Other"
"ASV_1049",1.85934834930564,0.48875472814791,0.630382518690771,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia","s__","Other"
"ASV_1055",1.61241211576774,0.587808157109348,0.699794953970861,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__","o__","f__","g__","s__","Other"
"ASV_1061",0.678900899032958,0.819271260638424,0.883489672992504,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__","g__","s__","Other"
"ASV_1063",2.8527520357505,0.336388213229961,0.505696188100669,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__","g__","s__","Other"
"ASV_1072",3.97075050974147,0.180782921715543,0.319359713847691,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Zymoseptoria","s__tritici","Other"
"ASV_1080",13.4710927852724,6.14791889318708e-06,2.87747956444014e-05,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia","s__","Other"
"ASV_1081",1.45699566087799,0.624105757057933,0.728390780730852,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__","s__","Other"
"ASV_1084",5.77778334407678,0.0516228982904602,0.111074861724497,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Camillea","s__tinctor","Other"
"ASV_1087",1.61001438075861,0.588078993127615,0.699794953970861,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__","g__Peniophorella","s__pubera","Other"
"ASV_1089",2.0294605252912,0.494661679906434,0.631121862696529,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__","s__","Other"
